year,state_name,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,rape_final
1984,Connecticut,3154000,12422,122,6009,5532,133573,35607,84630,13336,174.24948787061996
1984,District of Columbia,623000,10725,175,6087,4097,42799,10954,27471,4374,121.37737120847376
1984,Delaware,613000,2671,25,711,1635,28021,6678,19747,1596,56.88543904636496
1984,Florida,10976000,95270,1264,30311,58125,653429,198446,408153,46830,1454.4052925086407
1984,Georgia,5837000,27935,546,8414,16619,234621,70310,147251,17060,634.6776565621091
1984,Hawaii,1039000,2409,34,1204,857,54573,12609,38329,3635,106.89702984747865
1984,Iowa,2910000,5781,59,1114,4233,104785,25357,74818,4610,148.87861201789386
1984,Idaho,1001000,2355,34,244,1890,34398,8751,24138,1509,80.207823790995
1984,Illinois,11511000,83441,1033,34965,43849,527124,135068,324649,67407,997.3945438352935
1984,Indiana,5498000,16781,303,5435,9671,199258,51019,128941,19298,391.9593234409049
1984,Kansas,2438000,8147,89,1745,5644,97646,25577,67028,5041,212.4407519035533
1984,Kentucky,3723000,10342,244,2631,6641,99803,29234,63860,6709,259.65899443448734
1984,Louisiana,4462000,30251,575,8501,19311,197778,54711,129348,13719,469.246111955632
1984,Massachusetts,5798000,30362,211,10122,18402,235675,63756,123214,48705,431.6238451385834
1984,Maryland,4349000,34455,354,13097,19364,192325,51484,123567,17274,388.77108835040383
1984,Maine,1156000,1832,20,305,1352,38944,10267,26811,1866,55.178655604789284
1984,Michigan,9075000,68979,879,27832,34388,525979,149209,298192,78578,1594.4658545156378
1984,Minnesota,4162000,8802,74,2960,4717,151082,41242,101240,8600,286.36854974579177
1984,Missouri,5008000,23071,358,7053,14335,192123,55863,119749,16511,467.3149581398445
1984,Mississippi,2598000,7326,252,1572,4787,72169,25464,42952,3753,158.08560835861138
1984,Montana,824000,1958,36,226,1526,36380,7070,27080,2230,83.11742582532386
1984,North Carolina,6165000,24885,539,4612,18404,224437,69747,143700,10990,372.10031719290856
1984,North Dakota,686000,368,8,53,217,17354,2738,13856,760,45.221886432320666
1984,Nebraska,1606000,3627,54,693,2499,52526,10339,39875,2312,177.90699935191185
1984,New Hampshire,977000,1308,10,227,869,29347,7190,20314,1843,73.05382601105616
1984,New Jersey,7515000,39659,402,18218,18593,325231,79871,202181,43179,414.97831466027327
1984,New Mexico,1424000,9798,130,1856,7029,79108,23349,51195,4564,262.5557829181495
1984,Nevada,911000,5726,98,2542,2533,54045,18023,31508,4514,246.72202888731485
1984,New York,17735000,162157,1786,89900,64872,826969,222956,488621,115392,1616.699678547502
1984,Ohio,10752000,41430,551,15656,21489,418011,112887,266148,38976,980.816527365051
1984,Oklahoma,3298000,13438,258,3668,8197,147917,47979,84844,15094,423.75615420343706
1984,Oregon,2674000,13533,128,4508,7696,153423,48755,96742,7926,356.0326670738643
1984,Pennsylvania,11901000,38154,538,17656,17196,325960,88517,196999,40444,776.1504153184108
1984,Rhode Island,962000,3220,33,1091,1891,42706,11396,24654,6656,66.3742425612734
1984,South Carolina,3300000,20607,305,3408,15565,133270,40646,84753,7871,406.53060834077286
1984,South Dakota,706000,1041,13,105,733,17403,3529,13102,772,72.49035245690764
